254231  , -30644.2    , array([ 0.00105897 ,  0.00189106 ,  1.25601e-06,  6.11663e-38,  0.000156554])
254232  , -30627.6    , array([ 0.00105897 ,  0.00188917 ,  1.25727e-06,  6.11663e-38,  0.000156554])
254233  , -30627.6    , array([ 0.00105897 ,  0.00188917 ,  1.25601e-06,  6.12275e-38,  0.000156554])
254234  , -30627.9    , array([ 0.00105897 ,  0.00188917 ,  1.25601e-06,  6.11663e-38,  0.000156711])
254235  , -30627.4    , array([ 0.00105896 ,  0.00188913 ,  1.25601e-06,  6.11663e-38,  0.000156553])
254236  , -30627.4    , array([ 0.00105896 ,  0.00188913 ,  1.25601e-06,  6.11663e-38,  0.000156553])
254237  , -30610.5    , array([ 0.00106002 ,  0.00188913 ,  1.25601e-06,  6.11663e-38,  0.000156553])
254238  , -30643.9    , array([ 0.00105896 ,  0.00189102 ,  1.25601e-06,  6.11663e-38,  0.000156553])
254239  , -30627.4    , array([ 0.00105896 ,  0.00188913 ,  1.25727e-06,  6.11663e-38,  0.000156553])
254240  , -30627.4    , array([ 0.00105896 ,  0.00188913 ,  1.25601e-06,  6.12275e-38,  0.000156553])
254241  , -30627.7    , array([ 0.00105896 ,  0.00188913 ,  1.25601e-06,  6.11663e-38,  0.00015671 ])
254249  , -30627.3    , array([ 0.00105896 ,  0.00188912 ,  1.25601e-06,  6.11663e-38,  0.000156553])
254250  , -30627.3    , array([ 0.00105896 ,  0.00188912 ,  1.25601e-06,  6.11663e-38,  0.000156553])
254251  , -30610.4    , array([ 0.00106002 ,  0.00188912 ,  1.25601e-06,  6.11663e-38,  0.000156553])
254252  , -30643.9    , array([ 0.00105896 ,  0.00189101 ,  1.25601e-06,  6.11663e-38,  0.000156553])
254253  , -30627.3    , array([ 0.00105896 ,  0.00188912 ,  1.25727e-06,  6.11663e-38,  0.000156553])
254254  , -30627.3    , array([ 0.00105896 ,  0.00188912 ,  1.25601e-06,  6.12275e-38,  0.000156553])
254255  , -30627.6    , array([ 0.00105896 ,  0.00188912 ,  1.25601e-06,  6.11663e-38,  0.00015671 ])
254256  , -30627.2    , array([ 0.00105896 ,  0.00188911 ,  1.25601e-06,  6.11663e-38,  0.000156553])
254257  , -30627.2    , array([ 0.00105896 ,  0.00188911 ,  1.25601e-06,  6.11663e-38,  0.000156553])
254258  , -30610.4    , array([ 0.00106002 ,  0.00188911 ,  1.25601e-06,  6.11663e-38,  0.000156553])
254259  , -30643.8    , array([ 0.00105896 ,  0.001891   ,  1.25601e-06,  6.11663e-38,  0.000156553])
254260  , -30627.2    , array([ 0.00105896 ,  0.00188911 ,  1.25727e-06,  6.11663e-38,  0.000156553])
254261  , -30627.2    , array([ 0.00105896 ,  0.00188911 ,  1.25601e-06,  6.12275e-38,  0.000156553])
254262  , -30627.5    , array([ 0.00105896 ,  0.00188911 ,  1.25601e-06,  6.11663e-38,  0.00015671 ])
254270  , -30627.2    , array([ 0.00105896 ,  0.00188911 ,  1.25601e-06,  6.11663e-38,  0.000156553])
254271  , -30627.2    , array([ 0.00105896 ,  0.00188911 ,  1.25601e-06,  6.11663e-38,  0.000156553])
254272  , -30610.3    , array([ 0.00106002 ,  0.00188911 ,  1.25601e-06,  6.11663e-38,  0.000156553])
