91662   , -23860.6    , array([ 99.9542    ,  0.0252613  ,  6.22681e-05,  2.03476e-40,  0.0281934  ])
91663   , -23900.8    , array([ 99.9542    ,  0.0252613  ,  6.22681e-05,  2.03272e-40,  0.0282216  ])
91664   , -23860.6    , array([ 99.9583    ,  0.0252611  ,  6.22659e-05,  2.03272e-40,  0.0281931  ])
91665   , -23860.6    , array([ 99.9583    ,  0.0252611  ,  6.22659e-05,  2.03272e-40,  0.0281931  ])
91667   , -23819.5    , array([ 99.9583    ,  0.0252863  ,  6.22659e-05,  2.03272e-40,  0.0281931  ])
91668   , -23860.6    , array([ 99.9583    ,  0.0252611  ,  6.23281e-05,  2.03272e-40,  0.0281931  ])
91669   , -23860.6    , array([ 99.9583    ,  0.0252611  ,  6.22659e-05,  2.03476e-40,  0.0281931  ])
91670   , -23900.7    , array([ 99.9583    ,  0.0252611  ,  6.22659e-05,  2.03272e-40,  0.0282213  ])
91671   , -23860.6    , array([ 99.9592    ,  0.025261   ,  6.22654e-05,  2.03272e-40,  0.028193   ])
91672   , -23860.6    , array([ 99.9592    ,  0.025261   ,  6.22654e-05,  2.03272e-40,  0.028193   ])
91674   , -23819.5    , array([ 99.9592    ,  0.0252863  ,  6.22654e-05,  2.03272e-40,  0.028193   ])
91675   , -23860.6    , array([ 99.9592    ,  0.025261   ,  6.23277e-05,  2.03272e-40,  0.028193   ])
91676   , -23860.6    , array([ 99.9592    ,  0.025261   ,  6.22654e-05,  2.03476e-40,  0.028193   ])
91677   , -23900.7    , array([ 99.9592    ,  0.025261   ,  6.22654e-05,  2.03272e-40,  0.0282212  ])
91678   , -23860.6    , array([ 99.9594    ,  0.025261   ,  6.22653e-05,  2.03272e-40,  0.028193   ])
91679   , -23860.6    , array([ 99.9594    ,  0.025261   ,  6.22653e-05,  2.03272e-40,  0.028193   ])
91681   , -23819.5    , array([ 99.9594    ,  0.0252863  ,  6.22653e-05,  2.03272e-40,  0.028193   ])
91682   , -23860.6    , array([ 99.9594    ,  0.025261   ,  6.23276e-05,  2.03272e-40,  0.028193   ])
91683   , -23860.6    , array([ 99.9594    ,  0.025261   ,  6.22653e-05,  2.03476e-40,  0.028193   ])
91684   , -23900.7    , array([ 99.9594    ,  0.025261   ,  6.22653e-05,  2.03272e-40,  0.0282212  ])
91685   , -23860.6    , array([ 99.9594    ,  0.025261   ,  6.22652e-05,  2.03272e-40,  0.028193   ])
