99691   , -1409.54    , array([ 1.00652    ,  0.0873272  ,  4.78037    ,  4.73878    ,  0.0551699  ])
99692   , -1357.82    , array([ 1.00652    ,  0.0873272  ,  4.78037    ,  4.73878    ,  0.0505525  ])
99693   , -1355.65    , array([ 1.00652    ,  0.0873272  ,  4.78037    ,  4.73878    ,  0.0493246  ])
99694   , -1355.6     , array([ 1.00652    ,  0.0873272  ,  4.78037    ,  4.73878    ,  0.0494704  ])
99695   , -1355.6     , array([ 1.00652    ,  0.0873272  ,  4.78037    ,  4.73878    ,  0.0494753  ])
99696   , -1355.6     , array([ 1.00652    ,  0.0873272  ,  4.78037    ,  4.73878    ,  0.0494797  ])
99697   , -1355.6     , array([ 1.00652    ,  0.0873272  ,  4.78037    ,  4.73878    ,  0.0494753  ])
99698   , -1445.05    , array([ 1.00652    ,  0.0873272  ,  4.78037    ,  5.73878    ,  0.0494753  ])
99699   , -1436.36    , array([ 1.00652    ,  0.0873272  ,  4.78037    ,  3.12074    ,  0.0494753  ])
99700   , -1355.6     , array([ 1.00652    ,  0.0873272  ,  4.78037    ,  4.73878    ,  0.0494753  ])
99701   , -1349.47    , array([ 1.00652    ,  0.0873272  ,  4.78037    ,  4.12074    ,  0.0494753  ])
99702   , -1367.41    , array([ 1.00652    ,  0.0873272  ,  4.78037    ,  3.73878    ,  0.0494753  ])
99703   , -1346.9     , array([ 1.00652    ,  0.0873272  ,  4.78037    ,  4.34255    ,  0.0494753  ])
99704   , -1346.9     , array([ 1.00652    ,  0.0873272  ,  4.78037    ,  4.33839    ,  0.0494753  ])
99705   , -1346.9     , array([ 1.00652    ,  0.0873272  ,  4.78037    ,  4.33438    ,  0.0494753  ])
99706   , -1346.9     , array([ 1.00652    ,  0.0873272  ,  4.78037    ,  4.33034    ,  0.0494753  ])
99707   , -1346.9     , array([ 1.00652    ,  0.0873272  ,  4.78037    ,  4.33438    ,  0.0494753  ])
99708   , -1433.33    , array([ 1.13221    ,  0.0848976  ,  2.74351    ,  4.57569    ,  0.0462428  ])
99709   , -1515.22    , array([ 0.803141   ,  0.0912583  ,  8.07609    ,  3.94394    ,  0.0547056  ])
99710   , -1346.9     , array([ 1.00652    ,  0.0873272  ,  4.78037    ,  4.33438    ,  0.0494753  ])
