86942   , -68689.2    , array([ 0.75158    ,  12.6353    ,  3.29559e-19,  9.98261    ,  0.0126184  ])
86943   , -68695.4    , array([ 0.750927   ,  12.619     ,  3.29559e-19,  9.99121    ,  0.0125963  ])
86944   , -68695.4    , array([ 0.750927   ,  12.619     ,  3.29559e-19,  9.99121    ,  0.0125963  ])
86945   , -68703.1    , array([ 0.751678   ,  12.619     ,  3.29559e-19,  9.99121    ,  0.0125963  ])
86946   , -68696.2    , array([ 0.750927   ,  12.6317    ,  3.29559e-19,  9.99121    ,  0.0125963  ])
86947   , -68695.4    , array([ 0.750927   ,  12.619     ,  3.29889e-19,  9.99121    ,  0.0125963  ])
86949   , -68688.2    , array([ 0.750927   ,  12.619     ,  3.29559e-19,  9.99121    ,  0.0126089  ])
86950   , -68695      , array([ 0.75067    ,  12.6126    ,  3.29559e-19,  9.99461    ,  0.0125926  ])
86951   , -68695      , array([ 0.75067    ,  12.6126    ,  3.29559e-19,  9.99461    ,  0.0125926  ])
86952   , -68702.6    , array([ 0.751421   ,  12.6126    ,  3.29559e-19,  9.99461    ,  0.0125926  ])
86953   , -68695.8    , array([ 0.75067    ,  12.6253    ,  3.29559e-19,  9.99461    ,  0.0125926  ])
86954   , -68695      , array([ 0.75067    ,  12.6126    ,  3.29889e-19,  9.99461    ,  0.0125926  ])
86956   , -68687.8    , array([ 0.75067    ,  12.6126    ,  3.29559e-19,  9.99461    ,  0.0126052  ])
86957   , -68694.9    , array([ 0.750616   ,  12.6113    ,  3.29559e-19,  9.99532    ,  0.0125918  ])
86958   , -68694.9    , array([ 0.750616   ,  12.6113    ,  3.29559e-19,  9.99532    ,  0.0125918  ])
86959   , -68702.6    , array([ 0.751367   ,  12.6113    ,  3.29559e-19,  9.99532    ,  0.0125918  ])
86960   , -68695.7    , array([ 0.750616   ,  12.6239    ,  3.29559e-19,  9.99532    ,  0.0125918  ])
86961   , -68694.9    , array([ 0.750616   ,  12.6113    ,  3.29889e-19,  9.99532    ,  0.0125918  ])
86963   , -68687.7    , array([ 0.750616   ,  12.6113    ,  3.29559e-19,  9.99532    ,  0.0126044  ])
86964   , -68694.8    , array([ 0.750604   ,  12.611     ,  3.29559e-19,  9.99547    ,  0.0125916  ])
86965   , -68694.8    , array([ 0.750604   ,  12.611     ,  3.29559e-19,  9.99547    ,  0.0125916  ])
86966   , -68702.5    , array([ 0.751355   ,  12.611     ,  3.29559e-19,  9.99547    ,  0.0125916  ])
86967   , -68695.7    , array([ 0.750604   ,  12.6236    ,  3.29559e-19,  9.99547    ,  0.0125916  ])
86968   , -68694.8    , array([ 0.750604   ,  12.611     ,  3.29889e-19,  9.99547    ,  0.0125916  ])
86970   , -68687.7    , array([ 0.750604   ,  12.611     ,  3.29559e-19,  9.99547    ,  0.0126042  ])
86971   , -68694.8    , array([ 0.750602   ,  12.6109    ,  3.29559e-19,  9.99551    ,  0.0125916  ])
86972   , -68694.8    , array([ 0.750602   ,  12.6109    ,  3.29559e-19,  9.99551    ,  0.0125916  ])
86973   , -68702.5    , array([ 0.751353   ,  12.6109    ,  3.29559e-19,  9.99551    ,  0.0125916  ])
86974   , -68695.7    , array([ 0.750602   ,  12.6236    ,  3.29559e-19,  9.99551    ,  0.0125916  ])
86975   , -68694.8    , array([ 0.750602   ,  12.6109    ,  3.29889e-19,  9.99551    ,  0.0125916  ])
86977   , -68687.7    , array([ 0.750602   ,  12.6109    ,  3.29559e-19,  9.99551    ,  0.0126042  ])
86978   , -68694.8    , array([ 0.750601   ,  12.6109    ,  3.29559e-19,  9.99551    ,  0.0125916  ])
86979   , -68694.8    , array([ 0.750601   ,  12.6109    ,  3.29559e-19,  9.99551    ,  0.0125916  ])
