93447   , -2065.63    , array([ 2.42855    ,  0.127736   ,  4.76464e-54,  1.75022    ,  0.0512334  ])
93448   , -2066.64    , array([ 2.42612    ,  0.127864   ,  4.76464e-54,  1.75022    ,  0.0512334  ])
93449   , -2065.31    , array([ 2.42612    ,  0.127736   ,  4.7694e-54 ,  1.75022    ,  0.0512334  ])
93450   , -2065.41    , array([ 2.42612    ,  0.127736   ,  4.76464e-54,  1.75198    ,  0.0512334  ])
93451   , -2065.59    , array([ 2.42612    ,  0.127736   ,  4.76464e-54,  1.75022    ,  0.0512846  ])
93452   , -1724.96    , array([ 1.99788    ,  0.0974055  ,  4.76464e-54,  2.25723    ,  0.039791   ])
93453   , -1724.96    , array([ 1.99788    ,  0.0974055  ,  4.76464e-54,  2.25723    ,  0.039791   ])
93454   , -1725.12    , array([ 1.99988    ,  0.0974055  ,  4.76464e-54,  2.25723    ,  0.039791   ])
93455   , -1725.53    , array([ 1.99788    ,  0.0975029  ,  4.76464e-54,  2.25723    ,  0.039791   ])
93456   , -1724.96    , array([ 1.99788    ,  0.0974055  ,  4.7694e-54 ,  2.25723    ,  0.039791   ])
93457   , -1724.99    , array([ 1.99788    ,  0.0974055  ,  4.76464e-54,  2.25949    ,  0.039791   ])
93458   , -1725.19    , array([ 1.99788    ,  0.0974055  ,  4.76464e-54,  2.25723    ,  0.0398308  ])
93459   , -1578.04    , array([ 1.59661    ,  0.0740544  ,  4.76464e-54,  3.0947     ,  0.0308044  ])
93460   , -1578.04    , array([ 1.59661    ,  0.0740544  ,  4.76464e-54,  3.0947     ,  0.0308044  ])
93461   , -1578.07    , array([ 1.59821    ,  0.0740544  ,  4.76464e-54,  3.0947     ,  0.0308044  ])
93462   , -1578.07    , array([ 1.59661    ,  0.0741285  ,  4.76464e-54,  3.0947     ,  0.0308044  ])
93463   , -1578.04    , array([ 1.59661    ,  0.0740544  ,  4.7694e-54 ,  3.0947     ,  0.0308044  ])
93464   , -1578.03    , array([ 1.59661    ,  0.0740544  ,  4.76464e-54,  3.0978     ,  0.0308044  ])
93465   , -1578.26    , array([ 1.59661    ,  0.0740544  ,  4.76464e-54,  3.0947     ,  0.0308352  ])
93466   , -1557.93    , array([ 1.41883    ,  0.0652407  ,  4.76464e-54,  3.70771    ,  0.0273489  ])
93467   , -1557.93    , array([ 1.41883    ,  0.0652407  ,  4.76464e-54,  3.70771    ,  0.0273489  ])
93468   , -1557.91    , array([ 1.42025    ,  0.0652407  ,  4.76464e-54,  3.70771    ,  0.0273489  ])
93469   , -1557.88    , array([ 1.41883    ,  0.065306   ,  4.76464e-54,  3.70771    ,  0.0273489  ])
93470   , -1557.93    , array([ 1.41883    ,  0.0652407  ,  4.7694e-54 ,  3.70771    ,  0.0273489  ])
93471   , -1557.92    , array([ 1.41883    ,  0.0652407  ,  4.76464e-54,  3.71142    ,  0.0273489  ])
93472   , -1558.08    , array([ 1.41883    ,  0.0652407  ,  4.76464e-54,  3.70771    ,  0.0273763  ])
93473   , -1556.42    , array([ 1.36147    ,  0.0617729  ,  4.76464e-54,  3.96376    ,  0.0259727  ])
93474   , -1556.42    , array([ 1.36147    ,  0.0617729  ,  4.76464e-54,  3.96376    ,  0.0259727  ])
93475   , -1556.37    , array([ 1.36283    ,  0.0617729  ,  4.76464e-54,  3.96376    ,  0.0259727  ])
93476   , -1556.3     , array([ 1.36147    ,  0.0618347  ,  4.76464e-54,  3.96376    ,  0.0259727  ])
93477   , -1556.42    , array([ 1.36147    ,  0.0617729  ,  4.7694e-54 ,  3.96376    ,  0.0259727  ])
93478   , -1556.39    , array([ 1.36147    ,  0.0617729  ,  4.76464e-54,  3.96772    ,  0.0259727  ])
