21943   , -4892.51    , array([ 19.7416    ,  99.9968    ,  7.43939e-25,  0.0789511  ])
21945   , -4892.51    , array([ 19.7219    ,  99.9968    ,  7.44683e-25,  0.0789511  ])
21946   , -4895.61    , array([ 19.7219    ,  99.9968    ,  7.43939e-25,  0.0790301  ])
21947   , -4892.51    , array([ 19.7219    ,  99.9968    ,  7.43939e-25,  0.0789511  ])
21948   , -4892.51    , array([ 19.7219    ,  99.9968    ,  7.43939e-25,  0.0789511  ])
21949   , -4892.51    , array([ 19.7416    ,  99.9968    ,  7.43939e-25,  0.0789511  ])
21951   , -4892.51    , array([ 19.7219    ,  99.9968    ,  7.44683e-25,  0.0789511  ])
21952   , -4895.61    , array([ 19.7219    ,  99.9968    ,  7.43939e-25,  0.0790301  ])
21953   , -4892.51    , array([ 19.7219    ,  99.9968    ,  7.43939e-25,  0.0789511  ])
21954   , -4892.51    , array([ 19.7219    ,  99.9968    ,  7.43939e-25,  0.0789511  ])
21955   , -4892.51    , array([ 19.7416    ,  99.9968    ,  7.43939e-25,  0.0789511  ])
21957   , -4892.51    , array([ 19.7219    ,  99.9968    ,  7.44683e-25,  0.0789511  ])
21958   , -4895.61    , array([ 19.7219    ,  99.9968    ,  7.43939e-25,  0.0790301  ])
21959   , -4892.51    , array([ 19.7219    ,  99.9968    ,  7.43939e-25,  0.0789511  ])
21960   , -4892.51    , array([ 19.7219    ,  99.9968    ,  7.43939e-25,  0.0789511  ])
21961   , -4892.51    , array([ 19.7416    ,  99.9968    ,  7.43939e-25,  0.0789511  ])
21963   , -4892.51    , array([ 19.7219    ,  99.9968    ,  7.44683e-25,  0.0789511  ])
21964   , -4895.61    , array([ 19.7219    ,  99.9968    ,  7.43939e-25,  0.0790301  ])
21965   , -4892.51    , array([ 19.7219    ,  99.9968    ,  7.43939e-25,  0.0789511  ])
21966   , -4892.51    , array([ 19.7219    ,  99.9968    ,  7.43939e-25,  0.0789511  ])
21967   , -4892.51    , array([ 19.7416    ,  99.9968    ,  7.43939e-25,  0.0789511  ])
21969   , -4892.51    , array([ 19.7219    ,  99.9968    ,  7.44683e-25,  0.0789511  ])
21970   , -4895.61    , array([ 19.7219    ,  99.9968    ,  7.43939e-25,  0.0790301  ])
21971   , -4892.51    , array([ 19.7219    ,  99.9968    ,  7.43939e-25,  0.0789511  ])
21972   , -4892.51    , array([ 19.7219    ,  99.9968    ,  7.43939e-25,  0.0789511  ])
21973   , -4892.51    , array([ 19.7416    ,  99.9968    ,  7.43939e-25,  0.0789511  ])
21975   , -4892.51    , array([ 19.7219    ,  99.9968    ,  7.44683e-25,  0.0789511  ])
21976   , -4895.61    , array([ 19.7219    ,  99.9968    ,  7.43939e-25,  0.0790301  ])
21982   , -4901.06    , array([ 19.7219    ,  99.6267    ,  7.43939e-25,  0.079174   ])
21983   , -4901.06    , array([ 19.7219    ,  99.6267    ,  7.43939e-25,  0.079174   ])
21984   , -4901.06    , array([ 19.7416    ,  99.6267    ,  7.43939e-25,  0.079174   ])
21985   , -4901.11    , array([ 19.7219    ,  99.7263    ,  7.43939e-25,  0.079174   ])
21986   , -4901.06    , array([ 19.7219    ,  99.6267    ,  7.44683e-25,  0.079174   ])
21987   , -4904.17    , array([ 19.7219    ,  99.6267    ,  7.43939e-25,  0.0792532  ])
21990   , -4895.94    , array([ 19.7219    ,  99.8484    ,  7.43939e-25,  0.0790403  ])
21991   , -4895.94    , array([ 19.7219    ,  99.8484    ,  7.43939e-25,  0.0790403  ])
21992   , -4895.94    , array([ 19.7416    ,  99.8484    ,  7.43939e-25,  0.0790403  ])
21993   , -4895.98    , array([ 19.7219    ,  99.9483    ,  7.43939e-25,  0.0790403  ])
21994   , -4895.94    , array([ 19.7219    ,  99.8484    ,  7.44683e-25,  0.0790403  ])
21995   , -4899.03    , array([ 19.7219    ,  99.8484    ,  7.43939e-25,  0.0791194  ])
21996   , -4893.38    , array([ 19.7219    ,  99.9594    ,  7.43939e-25,  0.0789736  ])
21997   , -4893.38    , array([ 19.7219    ,  99.9594    ,  7.43939e-25,  0.0789736  ])
21998   , -4893.38    , array([ 19.7416    ,  99.9594    ,  7.43939e-25,  0.0789736  ])
22000   , -4893.38    , array([ 19.7219    ,  99.9594    ,  7.44683e-25,  0.0789736  ])
22001   , -4896.47    , array([ 19.7219    ,  99.9594    ,  7.43939e-25,  0.0790526  ])
22002   , -4894.79    , array([ 19.7219    ,  99.8981    ,  7.43939e-25,  0.0790104  ])
22003   , -4893.96    , array([ 19.7219    ,  99.9341    ,  7.43939e-25,  0.0789888  ])
