130017  , -1632.48    , array([ 1.42383    ,  0.0678671  ,  1.15496e-55,  1.36348e-59,  0.0243042  ])
130018  , -1632.48    , array([ 1.42241    ,  0.067935   ,  1.15496e-55,  1.36348e-59,  0.0243042  ])
130019  , -1632.48    , array([ 1.42241    ,  0.0678671  ,  1.15611e-55,  1.36348e-59,  0.0243042  ])
130020  , -1632.48    , array([ 1.42241    ,  0.0678671  ,  1.15496e-55,  1.36484e-59,  0.0243042  ])
130021  , -1632.49    , array([ 1.42241    ,  0.0678671  ,  1.15496e-55,  1.36348e-59,  0.0243285  ])
130022  , -1632.28    , array([ 1.46182    ,  0.0689456  ,  1.35797e-55,  1.36348e-59,  0.0247573  ])
130023  , -1632.28    , array([ 1.46182    ,  0.0689456  ,  1.35797e-55,  1.36348e-59,  0.0247573  ])
130024  , -1632.28    , array([ 1.46328    ,  0.0689456  ,  1.35797e-55,  1.36348e-59,  0.0247573  ])
130025  , -1632.22    , array([ 1.46182    ,  0.0690146  ,  1.35797e-55,  1.36348e-59,  0.0247573  ])
130026  , -1632.28    , array([ 1.46182    ,  0.0689456  ,  1.35932e-55,  1.36348e-59,  0.0247573  ])
130027  , -1632.28    , array([ 1.46182    ,  0.0689456  ,  1.35797e-55,  1.36484e-59,  0.0247573  ])
130028  , -1632.36    , array([ 1.46182    ,  0.0689456  ,  1.35797e-55,  1.36348e-59,  0.0247821  ])
130029  , -1632.32    , array([ 1.45343    ,  0.0683176  ,  1.24312e-55,  1.36348e-59,  0.0244977  ])
130030  , -1632.32    , array([ 1.45343    ,  0.0683176  ,  1.24312e-55,  1.36348e-59,  0.0244977  ])
130031  , -1632.32    , array([ 1.45489    ,  0.0683176  ,  1.24312e-55,  1.36348e-59,  0.0244977  ])
130032  , -1632.29    , array([ 1.45343    ,  0.068386   ,  1.24312e-55,  1.36348e-59,  0.0244977  ])
130033  , -1632.32    , array([ 1.45343    ,  0.0683176  ,  1.24436e-55,  1.36348e-59,  0.0244977  ])
130034  , -1632.32    , array([ 1.45343    ,  0.0683176  ,  1.24312e-55,  1.36484e-59,  0.0244977  ])
