155614  , -7584.67    , array([ 0.0234667  ,  0.00650744 ,  0.010325   ,  0.0739734  ,  0.00235814 ])
155615  , -7575.84    , array([ 0.0234901  ,  0.00650744 ,  0.010325   ,  0.0739734  ,  0.00235814 ])
155616  , -7584.14    , array([ 0.0234667  ,  0.00651395 ,  0.010325   ,  0.0739734  ,  0.00235814 ])
155617  , -7584.67    , array([ 0.0234667  ,  0.00650744 ,  0.0103353  ,  0.0739734  ,  0.00235814 ])
155618  , -7584.67    , array([ 0.0234667  ,  0.00650744 ,  0.010325   ,  0.0740474  ,  0.00235814 ])
155619  , -7593.75    , array([ 0.0234667  ,  0.00650744 ,  0.010325   ,  0.0739734  ,  0.0023605  ])
155620  , -5821.28    , array([ 0.0424278  ,  0.00972542 ,  8.61433e-09,  0.0406529  ,  0.00344569 ])
155621  , -5821.28    , array([ 0.0424278  ,  0.00972542 ,  8.61433e-09,  0.0406529  ,  0.00344569 ])
155622  , -5814.84    , array([ 0.0424702  ,  0.00972542 ,  8.61433e-09,  0.0406529  ,  0.00344569 ])
155623  , -5820.97    , array([ 0.0424278  ,  0.00973515 ,  8.61433e-09,  0.0406529  ,  0.00344569 ])
155624  , -5821.28    , array([ 0.0424278  ,  0.00972542 ,  8.62295e-09,  0.0406529  ,  0.00344569 ])
155625  , -5821.28    , array([ 0.0424278  ,  0.00972542 ,  8.61433e-09,  0.0406935  ,  0.00344569 ])
155626  , -5827.66    , array([ 0.0424278  ,  0.00972542 ,  8.61433e-09,  0.0406529  ,  0.00344914 ])
155627  , -2609.88    , array([ 0.280849   ,  0.0350591  ,  3.43396e-28,  0.00601698 ,  0.011559   ])
155628  , -2609.88    , array([ 0.280849   ,  0.0350591  ,  3.43396e-28,  0.00601698 ,  0.011559   ])
155629  , -2608.06    , array([ 0.28113    ,  0.0350591  ,  3.43396e-28,  0.00601698 ,  0.011559   ])
155630  , -2611.49    , array([ 0.280849   ,  0.0350942  ,  3.43396e-28,  0.00601698 ,  0.011559   ])
155631  , -2609.88    , array([ 0.280849   ,  0.0350591  ,  3.43739e-28,  0.00601698 ,  0.011559   ])
155632  , -2609.89    , array([ 0.280849   ,  0.0350591  ,  3.43396e-28,  0.006023   ,  0.011559   ])
155633  , -2609.51    , array([ 0.280849   ,  0.0350591  ,  3.43396e-28,  0.00601698 ,  0.0115706  ])
155641  , -2609.88    , array([ 0.280851   ,  0.0350593  ,  3.43343e-28,  0.00601728 ,  0.0115591  ])
155642  , -2609.88    , array([ 0.280851   ,  0.0350593  ,  3.43343e-28,  0.00601728 ,  0.0115591  ])
155643  , -2608.06    , array([ 0.281132   ,  0.0350593  ,  3.43343e-28,  0.00601728 ,  0.0115591  ])
155644  , -2611.48    , array([ 0.280851   ,  0.0350944  ,  3.43343e-28,  0.00601728 ,  0.0115591  ])
155645  , -2609.88    , array([ 0.280851   ,  0.0350593  ,  3.43687e-28,  0.00601728 ,  0.0115591  ])
155646  , -2609.88    , array([ 0.280851   ,  0.0350593  ,  3.43343e-28,  0.0060233  ,  0.0115591  ])
155647  , -2609.51    , array([ 0.280851   ,  0.0350593  ,  3.43343e-28,  0.00601728 ,  0.0115706  ])
155648  , -2609.86    , array([ 0.280855   ,  0.0350597  ,  3.43224e-28,  0.00601795 ,  0.0115592  ])
155649  , -2609.86    , array([ 0.280855   ,  0.0350597  ,  3.43224e-28,  0.00601795 ,  0.0115592  ])
155650  , -2608.04    , array([ 0.281136   ,  0.0350597  ,  3.43224e-28,  0.00601795 ,  0.0115592  ])
155651  , -2611.46    , array([ 0.280855   ,  0.0350948  ,  3.43224e-28,  0.00601795 ,  0.0115592  ])
155652  , -2609.86    , array([ 0.280855   ,  0.0350597  ,  3.43568e-28,  0.00601795 ,  0.0115592  ])
155653  , -2609.86    , array([ 0.280855   ,  0.0350597  ,  3.43224e-28,  0.00602397 ,  0.0115592  ])
155654  , -2609.49    , array([ 0.280855   ,  0.0350597  ,  3.43224e-28,  0.00601795 ,  0.0115708  ])
155662  , -2609.86    , array([ 0.280856   ,  0.0350597  ,  3.43211e-28,  0.00601803 ,  0.0115592  ])
155663  , -2609.86    , array([ 0.280856   ,  0.0350597  ,  3.43211e-28,  0.00601803 ,  0.0115592  ])
155664  , -2608.04    , array([ 0.281137   ,  0.0350597  ,  3.43211e-28,  0.00601803 ,  0.0115592  ])
155665  , -2611.46    , array([ 0.280856   ,  0.0350948  ,  3.43211e-28,  0.00601803 ,  0.0115592  ])
155666  , -2609.86    , array([ 0.280856   ,  0.0350597  ,  3.43554e-28,  0.00601803 ,  0.0115592  ])
155667  , -2609.86    , array([ 0.280856   ,  0.0350597  ,  3.43211e-28,  0.00602405 ,  0.0115592  ])
155668  , -2609.49    , array([ 0.280856   ,  0.0350597  ,  3.43211e-28,  0.00601803 ,  0.0115708  ])
155669  , -2609.86    , array([ 0.280857   ,  0.0350598  ,  3.43181e-28,  0.0060182  ,  0.0115592  ])
155670  , -2609.86    , array([ 0.280857   ,  0.0350598  ,  3.43181e-28,  0.0060182  ,  0.0115592  ])
155671  , -2608.04    , array([ 0.281138   ,  0.0350598  ,  3.43181e-28,  0.0060182  ,  0.0115592  ])
155672  , -2611.46    , array([ 0.280857   ,  0.0350949  ,  3.43181e-28,  0.0060182  ,  0.0115592  ])
